executor_instances,executor_memory,executor_cores,driver_memory,driver_cores,scheduler_mode,collectat,reducebykey,total
10,12,6,10,4,FAIR,8,56,64
12,12,6,10,4,FAIR,8,55,63
14,12,6,10,4,FAIR,8,54,62
16,12,6,10,4,FAIR,8,52,60
18,12,6,10,4,FAIR,8,58,66
16,16,6,10,4,FAIR,9,64,73
16,10,6,12,4,FAIR,9,70,79
16,12,6,14,6,FAIR,8,54,62
16,12,6,16,6,FAIR,10,60,70
16,12,6,14,8,FAIR,10,58,68
16,12,6,20,8,FAIR,10,60,70
15,25,8,20,6,FAIR,10,60,70
10,12,6,10,4,FIFO,9,57,66
12,12,6,10,4,FIFO,10,54,64
14,12,6,10,4,FIFO,8,57,65
16,12,6,10,4,FIFO,9,54,63
18,12,6,10,4,FIFO,8,54,62
16,16,6,10,4,FIFO,10,60,70
16,10,6,12,4,FIFO,11,54,65
16,12,6,14,6,FIFO,9,55,64
16,12,6,16,6,FIFO,10,59,69
16,12,6,14,8,FIFO,12,72,84
16,12,6,20,8,FIFO,9,60,69
15,25,8,20,6,FIFO,11,60,71
20,12,6,20,6,FIFO,8,60,68
20,12,6,20,6,FAIR,8,60,68
20,12,6,10,6,FIFO,11,66,77
20,12,6,10,6,FAIR,8,55,63
20,16,6,20,6,FIFO,10,78,88
20,16,6,20,6,FAIR,7,44,51
20,16,6,16,6,FIFO,9,60,69
20,16,6,16,6,FAIR,10,60,70
20,12,8,12,6,FIFO,9,54,63
20,12,8,12,6,FAIR,10,51,61
20,12,8,16,6,FIFO,10,59,69
20,12,8,16,6,FAIR,10,66,76
20,16,8,12,6,FIFO,10,57,67
20,16,8,12,6,FAIR,10,59,69
20,16,8,16,6,FIFO,10,59,69
20,16,8,16,6,FAIR,8,57,65
20,16,8,20,6,FAIR,8,46,54
20,16,8,20,6,FIFO,10,66,76
24,16,8,24,8,FAIR,11,68,79
4,6,3,4,3,FAIR,5,52,57
4,4,3,4,3,FAIR,8,53,61
4,2,3,4,3,FAIR,5,52,57
4,2,2,4,3,FAIR,6,70,76
4,2,3,3,3,FAIR,8,52,60
4,2,3,2,3,FAIR,5,52,57
4,2,3,2,2,FAIR,5,51,56
3,2,3,2,2,FAIR,8,76,84
20,2,3,2,3,FAIR,8,55,63
20,2,6,2,3,FAIR,8,56,64
15,2,3,2,3,FAIR,8,57,65
15,2,6,2,4,FAIR,9,58,67
15,32,6,12,4,FAIR,11,73,84
